year,name,id,indicator,percentage
1950,Afghanistan,AFG,gap_female-male_no-education,3.8499999999999943
1950,Afghanistan,AFG,gap_female-male_secondary-incomplete,0.12999999999999545
1950,Afghanistan,AFG,no_education,97.79
1950,Afghanistan,AFG,secondary_incomplete,99.92
1950,Albania,ALB,gap_female-male_no-education,7.93
1950,Albania,ALB,gap_female-male_secondary-incomplete,0.45999999999999375
1950,Albania,ALB,no_education,44.49
1950,Albania,ALB,secondary_incomplete,98.23
1950,Algeria,DZA,gap_female-male_no-education,5.519999999999996
1950,Algeria,DZA,gap_female-male_secondary-incomplete,0.25
1950,Algeria,DZA,no_education,79.2
1950,Algeria,DZA,secondary_incomplete,99.49
1950,Argentina,ARG,gap_female-male_no-education,4.539999999999999
1950,Argentina,ARG,gap_female-male_secondary-incomplete,-1.4699999999999989
1950,Argentina,ARG,no_education,15.87
1950,Argentina,ARG,secondary_incomplete,96.5
1950,Armenia,ARM,gap_female-male_no-education,6.159999999999999
1950,Armenia,ARM,gap_female-male_secondary-incomplete,2.239999999999995
1950,Armenia,ARM,no_education,7.85
1950,Armenia,ARM,secondary_incomplete,67.16
1950,Australia,AUS,gap_female-male_no-education,-0.06000000000000005
1950,Australia,AUS,gap_female-male_secondary-incomplete,5.140000000000001
1950,Australia,AUS,no_education,1.31
1950,Australia,AUS,secondary_incomplete,81.24
1950,Austria,AUT,gap_female-male_no-education,-0.2100000000000004
1950,Austria,AUT,gap_female-male_secondary-incomplete,2.269999999999996
1950,Austria,AUT,no_education,2.62
1950,Austria,AUT,secondary_incomplete,97.99
1950,Bahrain,BHR,gap_female-male_no-education,10.590000000000003
1950,Bahrain,BHR,gap_female-male_secondary-incomplete,2.039999999999992
1950,Bahrain,BHR,no_education,89.22
1950,Bahrain,BHR,secondary_incomplete,97.68
1950,Bangladesh,BGD,gap_female-male_no-education,25.159999999999997
1950,Bangladesh,BGD,gap_female-male_secondary-incomplete,3.0700000000000074
1950,Bangladesh,BGD,no_education,78.88
1950,Bangladesh,BGD,secondary_incomplete,98.13
1950,Barbados,BRB,gap_female-male_no-education,0.20999999999999996
1950,Barbados,BRB,gap_female-male_secondary-incomplete,0.10999999999999943
1950,Barbados,BRB,no_education,1.81
1950,Barbados,BRB,secondary_incomplete,97.09
1950,Belgium,BEL,gap_female-male_no-education,-0.10000000000000009
1950,Belgium,BEL,gap_female-male_secondary-incomplete,1.7999999999999972
1950,Belgium,BEL,no_education,2.51
1950,Belgium,BEL,secondary_incomplete,94.05
1950,Belize,BLZ,gap_female-male_no-education,-0.33000000000000007
1950,Belize,BLZ,gap_female-male_secondary-incomplete,0.12000000000000455
1950,Belize,BLZ,no_education,14.15
1950,Belize,BLZ,secondary_incomplete,99.64
1950,Benin,BEN,gap_female-male_no-education,5.799999999999997
1950,Benin,BEN,gap_female-male_secondary-incomplete,0.519999999999996
1950,Benin,BEN,no_education,94.23
1950,Benin,BEN,secondary_incomplete,99.57
1950,Bolivia,BOL,gap_female-male_no-education,17.880000000000003
1950,Bolivia,BOL,gap_female-male_secondary-incomplete,1.7199999999999989
1950,Bolivia,BOL,no_education,72.69
1950,Bolivia,BOL,secondary_incomplete,96.62
1950,Botswana,BWA,gap_female-male_no-education,-2.3000000000000114
1950,Botswana,BWA,gap_female-male_secondary-incomplete,0.46999999999999886
1950,Botswana,BWA,no_education,72.86
1950,Botswana,BWA,secondary_incomplete,99.43
1950,Brazil,BRA,gap_female-male_no-education,8.709999999999994
1950,Brazil,BRA,gap_female-male_secondary-incomplete,-0.25
1950,Brazil,BRA,no_education,65.3
1950,Brazil,BRA,secondary_incomplete,97.0
1950,Brunei Darussalam,BRN,gap_female-male_no-education,36.7
1950,Brunei Darussalam,BRN,gap_female-male_secondary-incomplete,3.450000000000003
1950,Brunei Darussalam,BRN,no_education,72.33
1950,Brunei Darussalam,BRN,secondary_incomplete,96.96
1950,Bulgaria,BGR,gap_female-male_no-education,21.450000000000003
1950,Bulgaria,BGR,gap_female-male_secondary-incomplete,0.6999999999999886
1950,Bulgaria,BGR,no_education,21.22
1950,Bulgaria,BGR,secondary_incomplete,98.66
1950,Burundi,BDI,gap_female-male_no-education,7.769999999999996
1950,Burundi,BDI,gap_female-male_secondary-incomplete,0.13000000000000966
1950,Burundi,BDI,no_education,95.45
1950,Burundi,BDI,secondary_incomplete,99.92
1950,Cambodia,KHM,gap_female-male_no-education,8.330000000000013
1950,Cambodia,KHM,gap_female-male_secondary-incomplete,0.0799999999999983
1950,Cambodia,KHM,no_education,94.18
1950,Cambodia,KHM,secondary_incomplete,99.9
1950,Cameroon,CMR,gap_female-male_no-education,14.969999999999999
1950,Cameroon,CMR,gap_female-male_secondary-incomplete,0.3199999999999932
1950,Cameroon,CMR,no_education,88.53
1950,Cameroon,CMR,secondary_incomplete,99.77
1950,Canada,CAN,gap_female-male_no-education,-0.4299999999999997
1950,Canada,CAN,gap_female-male_secondary-incomplete,-4.950000000000003
1950,Canada,CAN,no_education,2.4
1950,Canada,CAN,secondary_incomplete,84.13
1950,Central African Republic,CAF,gap_female-male_no-education,5.040000000000006
1950,Central African Republic,CAF,gap_female-male_secondary-incomplete,0.15000000000000568
1950,Central African Republic,CAF,no_education,92.2
1950,Central African Republic,CAF,secondary_incomplete,99.9
1950,Chile,CHL,gap_female-male_no-education,4.969999999999999
1950,Chile,CHL,gap_female-male_secondary-incomplete,0.8599999999999994
1950,Chile,CHL,no_education,23.5
1950,Chile,CHL,secondary_incomplete,90.61
1950,China,CHN,gap_female-male_no-education,18.739999999999995
1950,China,CHN,gap_female-male_secondary-incomplete,0.3400000000000034
1950,China,CHN,no_education,86.84
1950,China,CHN,secondary_incomplete,99.42
1950,"China, Hong Kong Special Administrative Region",HKG,gap_female-male_no-education,46.85999999999999
1950,"China, Hong Kong Special Administrative Region",HKG,gap_female-male_secondary-incomplete,6.049999999999997
1950,"China, Hong Kong Special Administrative Region",HKG,no_education,42.66
1950,"China, Hong Kong Special Administrative Region",HKG,secondary_incomplete,93.35
1950,"China, Macao Special Administrative Region",MAC,gap_female-male_no-education,15.98
1950,"China, Macao Special Administrative Region",MAC,gap_female-male_secondary-incomplete,1.9299999999999926
1950,"China, Macao Special Administrative Region",MAC,no_education,36.44
1950,"China, Macao Special Administrative Region",MAC,secondary_incomplete,96.9
1950,Colombia,COL,gap_female-male_no-education,8.530000000000001
1950,Colombia,COL,gap_female-male_secondary-incomplete,0.04999999999999716
1950,Colombia,COL,no_education,43.5
1950,Colombia,COL,secondary_incomplete,98.2
1950,Congo,COG,gap_female-male_no-education,10.320000000000007
1950,Congo,COG,gap_female-male_secondary-incomplete,0.25
1950,Congo,COG,no_education,91.27
1950,Congo,COG,secondary_incomplete,99.69
1950,Costa Rica,CRI,gap_female-male_no-education,2.120000000000001
1950,Costa Rica,CRI,gap_female-male_secondary-incomplete,0.4200000000000017
1950,Costa Rica,CRI,no_education,21.2
1950,Costa Rica,CRI,secondary_incomplete,97.59
1950,Cote dIvoire,CIV,gap_female-male_no-education,4.590000000000003
1950,Cote dIvoire,CIV,gap_female-male_secondary-incomplete,0.20000000000000284
1950,Cote dIvoire,CIV,no_education,91.88
1950,Cote dIvoire,CIV,secondary_incomplete,99.72
1950,Croatia,HRV,gap_female-male_no-education,16.060000000000002
1950,Croatia,HRV,gap_female-male_secondary-incomplete,5.609999999999999
1950,Croatia,HRV,no_education,34.56
1950,Croatia,HRV,secondary_incomplete,96.07
1950,Cuba,CUB,gap_female-male_no-education,-2.539999999999999
1950,Cuba,CUB,gap_female-male_secondary-incomplete,-0.1700000000000017
1950,Cuba,CUB,no_education,26.4
1950,Cuba,CUB,secondary_incomplete,98.83
1950,Cyprus,CYP,gap_female-male_no-education,38.69
1950,Cyprus,CYP,gap_female-male_secondary-incomplete,3.8599999999999994
1950,Cyprus,CYP,no_education,45.4
1950,Cyprus,CYP,secondary_incomplete,96.01
1950,Czech Republic,CZE,gap_female-male_no-education,0.47
1950,Czech Republic,CZE,gap_female-male_secondary-incomplete,14.260000000000005
1950,Czech Republic,CZE,no_education,0.95
1950,Czech Republic,CZE,secondary_incomplete,91.89
1950,Democratic Republic of the Congo,COD,gap_female-male_no-education,16.36
1950,Democratic Republic of the Congo,COD,gap_female-male_secondary-incomplete,0.44999999999998863
1950,Democratic Republic of the Congo,COD,no_education,91.9
1950,Democratic Republic of the Congo,COD,secondary_incomplete,99.8
1950,Denmark,DNK,gap_female-male_no-education,-0.18999999999999972
1950,Denmark,DNK,gap_female-male_secondary-incomplete,4.909999999999997
1950,Denmark,DNK,no_education,1.93
1950,Denmark,DNK,secondary_incomplete,87.92
1950,Dominican Rep.,DOM,gap_female-male_no-education,0.0
1950,Dominican Rep.,DOM,gap_female-male_secondary-incomplete,-0.04000000000000625
1950,Dominican Rep.,DOM,no_education,43.43
1950,Dominican Rep.,DOM,secondary_incomplete,99.48
1950,Ecuador,ECU,gap_female-male_no-education,13.57
1950,Ecuador,ECU,gap_female-male_secondary-incomplete,1.2199999999999989
1950,Ecuador,ECU,no_education,50.4
1950,Ecuador,ECU,secondary_incomplete,97.65
1950,Egypt,EGY,gap_female-male_no-education,8.789999999999992
1950,Egypt,EGY,gap_female-male_secondary-incomplete,1.0699999999999932
1950,Egypt,EGY,no_education,93.73
1950,Egypt,EGY,secondary_incomplete,99.25
1950,El Salvador,SLV,gap_female-male_no-education,8.440000000000005
1950,El Salvador,SLV,gap_female-male_secondary-incomplete,0.5900000000000034
1950,El Salvador,SLV,no_education,66.8
1950,El Salvador,SLV,secondary_incomplete,98.79
1950,Estonia,EST,gap_female-male_no-education,0.7200000000000006
1950,Estonia,EST,gap_female-male_secondary-incomplete,0.45999999999999375
1950,Estonia,EST,no_education,14.44
1950,Estonia,EST,secondary_incomplete,92.44
1950,Fiji,FJI,gap_female-male_no-education,19.240000000000002
1950,Fiji,FJI,gap_female-male_secondary-incomplete,0.480000000000004
1950,Fiji,FJI,no_education,42.99
1950,Fiji,FJI,secondary_incomplete,98.95
1950,Finland,FIN,gap_female-male_no-education,-1.5399999999999998
1950,Finland,FIN,gap_female-male_secondary-incomplete,0.03999999999999204
1950,Finland,FIN,no_education,0.8
1950,Finland,FIN,secondary_incomplete,98.92
1950,France,FRA,gap_female-male_no-education,-0.54
1950,France,FRA,gap_female-male_secondary-incomplete,0.3100000000000023
1950,France,FRA,no_education,0.38
1950,France,FRA,secondary_incomplete,97.5
1950,Gabon,GAB,gap_female-male_no-education,-11.710000000000008
1950,Gabon,GAB,gap_female-male_secondary-incomplete,-0.4100000000000108
1950,Gabon,GAB,no_education,91.37
1950,Gabon,GAB,secondary_incomplete,99.65
1950,Gambia,GMB,gap_female-male_no-education,2.1799999999999926
1950,Gambia,GMB,gap_female-male_secondary-incomplete,0.22000000000001307
1950,Gambia,GMB,no_education,96.26
1950,Gambia,GMB,secondary_incomplete,99.58
1950,Germany,DEU,gap_female-male_no-education,-0.9199999999999999
1950,Germany,DEU,gap_female-male_secondary-incomplete,3.3999999999999915
1950,Germany,DEU,no_education,10.25
1950,Germany,DEU,secondary_incomplete,94.97
1950,Ghana,GHA,gap_female-male_no-education,14.64
1950,Ghana,GHA,gap_female-male_secondary-incomplete,0.09000000000000341
1950,Ghana,GHA,no_education,87.53
1950,Ghana,GHA,secondary_incomplete,99.79
1950,Greece,GRC,gap_female-male_no-education,32.489999999999995
1950,Greece,GRC,gap_female-male_secondary-incomplete,5.060000000000002
1950,Greece,GRC,no_education,31.9
1950,Greece,GRC,secondary_incomplete,92.23
1950,Guatemala,GTM,gap_female-male_no-education,14.690000000000005
1950,Guatemala,GTM,gap_female-male_secondary-incomplete,0.14999999999999147
1950,Guatemala,GTM,no_education,72.3
1950,Guatemala,GTM,secondary_incomplete,98.53
1950,Guyana,GUY,gap_female-male_no-education,16.560000000000002
1950,Guyana,GUY,gap_female-male_secondary-incomplete,0.9900000000000091
1950,Guyana,GUY,no_education,22.71
1950,Guyana,GUY,secondary_incomplete,98.28
1950,Haiti,HTI,gap_female-male_no-education,4.319999999999993
1950,Haiti,HTI,gap_female-male_secondary-incomplete,1.2199999999999989
1950,Haiti,HTI,no_education,90.9
1950,Haiti,HTI,secondary_incomplete,99.0
1950,Honduras,HND,gap_female-male_no-education,11.409999999999997
1950,Honduras,HND,gap_female-male_secondary-incomplete,0.25
1950,Honduras,HND,no_education,63.11
1950,Honduras,HND,secondary_incomplete,97.71
1950,Hungary,HUN,gap_female-male_no-education,1.77
1950,Hungary,HUN,gap_female-male_secondary-incomplete,0.9699999999999989
1950,Hungary,HUN,no_education,4.73
1950,Hungary,HUN,secondary_incomplete,97.77
1950,Iceland,ISL,gap_female-male_no-education,-0.06999999999999984
1950,Iceland,ISL,gap_female-male_secondary-incomplete,-0.6599999999999966
1950,Iceland,ISL,no_education,1.35
1950,Iceland,ISL,secondary_incomplete,97.21
1950,India,IND,gap_female-male_no-education,29.03
1950,India,IND,gap_female-male_secondary-incomplete,0.4000000000000057
1950,India,IND,no_education,77.28
1950,India,IND,secondary_incomplete,99.66
1950,Indonesia,IDN,gap_female-male_no-education,20.83
1950,Indonesia,IDN,gap_female-male_secondary-incomplete,0.01999999999999602
1950,Indonesia,IDN,no_education,82.85
1950,Indonesia,IDN,secondary_incomplete,99.74
1950,Iran (Islamic Republic of),IRN,gap_female-male_no-education,5.670000000000002
1950,Iran (Islamic Republic of),IRN,gap_female-male_secondary-incomplete,0.6299999999999955
1950,Iran (Islamic Republic of),IRN,no_education,95.07
1950,Iran (Islamic Republic of),IRN,secondary_incomplete,99.46
1950,Iraq,IRQ,gap_female-male_no-education,2.3799999999999955
1950,Iraq,IRQ,gap_female-male_secondary-incomplete,0.39000000000000057
1950,Iraq,IRQ,no_education,98.17
1950,Iraq,IRQ,secondary_incomplete,99.7
1950,Ireland,IRL,gap_female-male_no-education,0.7400000000000002
1950,Ireland,IRL,gap_female-male_secondary-incomplete,-1.9899999999999949
1950,Ireland,IRL,no_education,5.99
1950,Ireland,IRL,secondary_incomplete,91.66
1950,Israel,ISR,gap_female-male_no-education,14.830000000000002
1950,Israel,ISR,gap_female-male_secondary-incomplete,1.5600000000000023
1950,Israel,ISR,no_education,20.83
1950,Israel,ISR,secondary_incomplete,80.65
1950,Italy,ITA,gap_female-male_no-education,6.600000000000001
1950,Italy,ITA,gap_female-male_secondary-incomplete,1.2099999999999937
1950,Italy,ITA,no_education,16.1
1950,Italy,ITA,secondary_incomplete,96.2
1950,Jamaica,JAM,gap_female-male_no-education,-4.32
1950,Jamaica,JAM,gap_female-male_secondary-incomplete,0.10999999999999943
1950,Jamaica,JAM,no_education,21.64
1950,Jamaica,JAM,secondary_incomplete,98.25
1950,Japan,JPN,gap_female-male_no-education,5.52
1950,Japan,JPN,gap_female-male_secondary-incomplete,14.349999999999994
1950,Japan,JPN,no_education,5.66
1950,Japan,JPN,secondary_incomplete,89.0
1950,Jordan,JOR,gap_female-male_no-education,15.100000000000009
1950,Jordan,JOR,gap_female-male_secondary-incomplete,2.260000000000005
1950,Jordan,JOR,no_education,86.45
1950,Jordan,JOR,secondary_incomplete,98.2
1950,Kazakhstan,KAZ,gap_female-male_no-education,14.36
1950,Kazakhstan,KAZ,gap_female-male_secondary-incomplete,6.6699999999999875
1950,Kazakhstan,KAZ,no_education,50.36
1950,Kazakhstan,KAZ,secondary_incomplete,96.48
1950,Kenya,KEN,gap_female-male_no-education,17.820000000000007
1950,Kenya,KEN,gap_female-male_secondary-incomplete,0.030000000000001137
1950,Kenya,KEN,no_education,83.72
1950,Kenya,KEN,secondary_incomplete,99.77
1950,Kuwait,KWT,gap_female-male_no-education,26.819999999999993
1950,Kuwait,KWT,gap_female-male_secondary-incomplete,2.1799999999999926
1950,Kuwait,KWT,no_education,74.19
1950,Kuwait,KWT,secondary_incomplete,97.69
1950,Kyrgyzstan,KGZ,gap_female-male_no-education,9.5
1950,Kyrgyzstan,KGZ,gap_female-male_secondary-incomplete,3.559999999999988
1950,Kyrgyzstan,KGZ,no_education,33.56
1950,Kyrgyzstan,KGZ,secondary_incomplete,92.27
1950,Lao People's Democratic Republic,LAO,gap_female-male_no-education,25.41000000000001
1950,Lao People's Democratic Republic,LAO,gap_female-male_secondary-incomplete,0.39000000000000057
1950,Lao People's Democratic Republic,LAO,no_education,83.3
1950,Lao People's Democratic Republic,LAO,secondary_incomplete,99.78
1950,Latvia,LVA,gap_female-male_no-education,2.619999999999999
1950,Latvia,LVA,gap_female-male_secondary-incomplete,1.7999999999999972
1950,Latvia,LVA,no_education,9.92
1950,Latvia,LVA,secondary_incomplete,94.03
1950,Lesotho,LSO,gap_female-male_no-education,-6.670000000000002
1950,Lesotho,LSO,gap_female-male_secondary-incomplete,1.1899999999999977
1950,Lesotho,LSO,no_education,53.04
1950,Lesotho,LSO,secondary_incomplete,99.43
1950,Liberia,LBR,gap_female-male_no-education,8.649999999999991
1950,Liberia,LBR,gap_female-male_secondary-incomplete,1.4500000000000028
1950,Liberia,LBR,no_education,92.34
1950,Liberia,LBR,secondary_incomplete,99.13
1950,Libyan Arab Jamahiriya,LBY,gap_female-male_no-education,20.17
1950,Libyan Arab Jamahiriya,LBY,gap_female-male_secondary-incomplete,0.23000000000000398
1950,Libyan Arab Jamahiriya,LBY,no_education,88.35
1950,Libyan Arab Jamahiriya,LBY,secondary_incomplete,99.87
1950,Lithuania,LTU,gap_female-male_no-education,11.46
1950,Lithuania,LTU,gap_female-male_secondary-incomplete,2.6899999999999977
1950,Lithuania,LTU,no_education,45.35
1950,Lithuania,LTU,secondary_incomplete,93.59
1950,Luxembourg,LUX,gap_female-male_no-education,-2.0799999999999983
1950,Luxembourg,LUX,gap_female-male_secondary-incomplete,3.760000000000005
1950,Luxembourg,LUX,no_education,59.6
1950,Luxembourg,LUX,secondary_incomplete,95.78
1950,Malawi,MWI,gap_female-male_no-education,22.730000000000004
1950,Malawi,MWI,gap_female-male_secondary-incomplete,0.09000000000000341
1950,Malawi,MWI,no_education,71.49
1950,Malawi,MWI,secondary_incomplete,99.94
1950,Malaysia,MYS,gap_female-male_no-education,44.66
