year,No Level,Primary,Secondary,Tertiary
1950,52.283116232862646,35.74289806652784,9.669339051449649,2.3046466491598614
1955,48.040414135296615,37.95121482249859,11.353031455225238,2.6553395869795517
1960,45.638023835424654,38.7576830793184,12.661520703573103,2.942772381683852
1965,41.92238853980603,39.080893253435036,15.548002952182111,3.4487152545768196
1970,39.16186609112314,38.884579982966294,17.88123993153083,4.072313994379736
1975,36.24609975458316,37.274972873961765,21.061229247625928,5.41769812382915
1980,33.34349858532108,35.419884041196944,24.702584001676755,6.534033371805223
1985,31.104519104494504,33.063819141593505,27.588437807514648,8.243223946397347
1990,29.286647467854703,30.32276188579347,30.299498495935456,10.091092150416376
1995,25.383261488152126,28.741773942015474,34.56293342021796,11.312031149614436
2000,21.90804741366951,27.148695728838195,37.647745065007776,13.295511792484529
2005,18.869889612858728,25.642942208866828,41.354486563561046,14.132681614713407
2010,16.558452999649564,23.430459227146834,44.67924954445757,15.331838228746033
